confidence,latitude,longitude,brightness,scan,track,acq_date,bright_t31,frp,day,STATION,AWND,PRCP,TAVG,SUMMER,PREDICTED
46,34.0937,-117.5354,302,1.3,1.1,1/6/2017,288.1,5.6,1,0,2.01,0,56,0,49.94234498
70,34.8495,-117.1942,310.3,1.1,1.1,1/16/2017,290.1,9.9,1,0,3.36,0,57,0,55.10964716
65,34.0948,-117.5331,307.4,1,1,1/17/2017,292.3,5.7,1,0,2.01,0,54,0,52.54841233
60,34.0971,-117.5331,308.5,1.1,1,1/31/2017,296.1,4.7,1,0,1.79,0,59,0,52.56599601
73,33.6459,-117.4301,313.2,1,1,2/2/2017,280.9,13.2,1,0,2.46,0,56,0,60.3669582
99,33.6474,-117.4407,358.7,1,1,2/2/2017,283.3,84.9,1,0,2.46,0,56,0,93.62530338
68,34.0918,-117.5305,309.2,1.3,1.1,2/23/2017,293.9,7.6,1,0,10.51,0,55,0,53.8079687
46,34.0907,-117.532,304.2,1,1,2/25/2017,287.6,3.3,1,0,4.25,0,52,0,51.535527
56,34.8757,-116.9527,317.2,2.6,1.5,3/16/2017,303.8,21.1,1,0,4.47,0,63,1,58.75193728
64,34.8832,-116.9742,324.7,1.1,1,3/16/2017,306.6,10.9,1,0,4.47,0,63,1,62.1633002
72,34.8818,-116.9798,321.1,2.6,1.5,3/16/2017,304.3,34.2,1,0,4.47,0,63,1,61.33940781
67,34.0938,-117.5333,317,1.3,1.1,3/24/2017,301.7,8.8,1,0,5.14,0,60,1,57.73048136
73,34.1447,-116.9773,320.7,1.1,1,4/17/2017,294.5,18.3,1,0,5.59,0,63,1,62.50611581
88,34.1538,-116.9799,336.7,1.1,1,4/17/2017,292.7,38.9,1,0,5.59,0,63,1,75.11921092
69,34.095,-117.3873,326.3,1,1,4/30/2017,313.4,4.5,1,0,5.14,0,70,1,61.14557735
55,34.5912,-117.1948,333.3,1.1,1,5/3/2017,319.5,4.7,1,0,5.59,0,68,1,65.12856399
32,34.0644,-117.4599,333.4,1.1,1.1,5/23/2017,317.1,8.1,1,0,6.71,0,67,1,65.27977628
51,35.0078,-117.3503,324.3,3.7,1.8,5/25/2017,311.3,34.5,1,0,5.82,0,63,1,63.49818375
71,34.0944,-117.3888,325.1,1,1,6/1/2017,306.6,6.5,1,0,5.14,0,65,1,62.25393712
56,34.0463,-117.3769,326.1,1,1,6/1/2017,308.4,7.3,1,0,5.14,0,65,1,62.47397687
76,34.0419,-117.3776,336.7,1,1,6/17/2017,320.5,12.4,1,0,6.71,0,73,1,66.94965485
87,34.3018,-116.8345,314.6,1.5,1.2,6/20/2017,294.1,23.7,0,0,5.82,0,71,1,67.42493069
100,34.3077,-116.8532,393,1.1,1,6/20/2017,329.8,211.6,1,0,5.82,0,71,1,103.7516267
100,34.3095,-116.8421,410.4,1.1,1,6/20/2017,327.8,328.5,1,0,5.82,0,71,1,115.1179092
52,34.3112,-116.831,332.8,1.1,1,6/20/2017,315.1,12.7,1,0,5.82,0,71,1,65.8480601
85,34.2986,-116.851,344.1,1.1,1,6/20/2017,317.5,32,1,0,5.82,0,71,1,73.52295442
85,34.3203,-116.8335,343.8,1.1,1,6/20/2017,312.5,32.1,1,0,5.82,0,71,1,74.80211259
99,34.3004,-116.8398,358.6,1.1,1,6/20/2017,319.8,66.3,1,0,5.82,0,71,1,83.36944812
100,34.3185,-116.8443,390.8,1.1,1,6/20/2017,318.1,199.3,1,0,5.82,0,71,1,105.8803419
100,34.3041,-116.8366,365.8,2.7,1.6,6/20/2017,313,384.5,1,0,5.82,0,71,1,84.7687337
76,34.3107,-116.8665,337.4,2.7,1.6,6/20/2017,308.6,114.4,1,0,5.82,0,71,1,70.52632974
100,34.3171,-116.8293,364.9,2.7,1.6,6/20/2017,312.4,369.2,1,0,5.82,0,71,1,84.62575542
89,34.3239,-116.8597,346.9,2.7,1.6,6/20/2017,308.4,180.9,1,0,5.82,0,71,1,76.39442971
95,34.314,-116.8255,318.8,1,1,6/20/2017,294.9,18.1,0,0,5.82,0,71,1,70.1874794
100,34.323,-116.8229,355.9,1,1,6/20/2017,303.9,80.6,0,0,5.82,0,71,1,95.06718602
69,34.3158,-116.8367,314.2,1,1,6/20/2017,292.4,13.8,0,0,5.82,0,71,1,67.43649041
100,34.3248,-116.8342,370.5,1,1,6/20/2017,302.5,125.8,0,0,5.82,0,71,1,105.8427135
100,34.3122,-116.8379,356,1.5,1.2,6/20/2017,301.7,134.8,0,0,5.82,0,71,1,94.89548837
98,34.3226,-116.8416,319.3,1.5,1.2,6/20/2017,294.5,28.4,0,0,5.82,0,71,1,70.88193295
100,34.3148,-116.8236,359.8,1.5,1.2,6/20/2017,302.3,150.5,0,0,5.82,0,71,1,97.30894485
