latitude,longitude,acq_date,PREDICTED
34.0937,-117.5354,1/6/2017,49.94234498
34.8495,-117.1942,1/16/2017,55.10964716
34.0948,-117.5331,1/17/2017,52.54841233
34.0971,-117.5331,1/31/2017,52.56599601
33.6459,-117.4301,2/2/2017,60.3669582
33.6474,-117.4407,2/2/2017,93.62530338
34.0918,-117.5305,2/23/2017,53.8079687
34.0907,-117.532,2/25/2017,51.535527
34.8757,-116.9527,3/16/2017,58.75193728
34.8832,-116.9742,3/16/2017,62.1633002
34.8818,-116.9798,3/16/2017,61.33940781
34.0938,-117.5333,3/24/2017,57.73048136
34.1447,-116.9773,4/17/2017,62.50611581
34.1538,-116.9799,4/17/2017,75.11921092
34.095,-117.3873,4/30/2017,61.14557735
34.5912,-117.1948,5/3/2017,65.12856399
34.0644,-117.4599,5/23/2017,65.27977628
35.0078,-117.3503,5/25/2017,63.49818375
34.0944,-117.3888,6/1/2017,62.25393712
34.0463,-117.3769,6/1/2017,62.47397687
34.0419,-117.3776,6/17/2017,66.94965485
34.3018,-116.8345,6/20/2017,67.42493069
34.3077,-116.8532,6/20/2017,103.7516267
34.3095,-116.8421,6/20/2017,115.1179092
34.3112,-116.831,6/20/2017,65.8480601
34.2986,-116.851,6/20/2017,73.52295442
34.3203,-116.8335,6/20/2017,74.80211259
34.3004,-116.8398,6/20/2017,83.36944812
34.3185,-116.8443,6/20/2017,105.8803419
34.3041,-116.8366,6/20/2017,84.7687337
34.3107,-116.8665,6/20/2017,70.52632974
34.3171,-116.8293,6/20/2017,84.62575542
34.3239,-116.8597,6/20/2017,76.39442971
34.314,-116.8255,6/20/2017,70.1874794
34.323,-116.8229,6/20/2017,95.06718602
34.3158,-116.8367,6/20/2017,67.43649041
34.3248,-116.8342,6/20/2017,105.8427135
34.3122,-116.8379,6/20/2017,94.89548837
34.3226,-116.8416,6/20/2017,70.88193295
34.3148,-116.8236,6/20/2017,97.30894485
34.3235,-116.8492,6/21/2017,83.98393964
34.3261,-116.8411,6/21/2017,68.15739778
34.3203,-116.8326,6/21/2017,64.35732827
34.3219,-116.847,6/21/2017,66.6610516
34.3358,-116.843,6/21/2017,63.71693606
34.32,-116.834,6/21/2017,64.73297729
34.312,-116.849,6/21/2017,63.07009401
34.1527,-117.4381,6/27/2017,66.76386481
33.7747,-118.2407,6/28/2017,62.87726873
34.0451,-117.3771,7/3/2017,64.2803941
34.2707,-117.343,7/4/2017,91.16689899
34.2692,-117.3539,7/4/2017,67.39874691
34.0262,-117.3401,7/8/2017,69.55938379
34.0918,-117.537,7/11/2017,61.89916086
34.3507,-117.3473,7/22/2017,64.96771748
34.5599,-117.3985,7/22/2017,67.91092927
34.0412,-117.3794,7/22/2017,67.48421857
34.1652,-117.134,7/22/2017,77.94823781
34.0934,-117.5359,7/27/2017,60.79775773
34.1925,-117.2796,7/31/2017,85.98772213
34.195,-117.2656,7/31/2017,73.17683011
